SOUNDS/it-IT-f-Elsa/SYSTEM;0000.wav;0;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0001.wav;1;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0002.wav;2;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0003.wav;3;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0004.wav;4;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0005.wav;5;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0006.wav;6;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0007.wav;7;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0008.wav;8;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0009.wav;9;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0010.wav;10;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0011.wav;11;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0012.wav;12;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0013.wav;13;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0014.wav;14;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0015.wav;15;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0016.wav;16;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0017.wav;17;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0018.wav;18;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0019.wav;19;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0020.wav;20;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0021.wav;21;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0022.wav;22;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0023.wav;23;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0024.wav;24;it;IT;f;Elsa
SOUNDS/it-IT-f-Elsa/SYSTEM;0025.wav;25;it;IT;f;Elsa
